"","AREA_TITLE","PRIM_STATE","SubRegion","Region"
"1","Alabama","AL","East South Central","South"
"2","Alaska","AK","Pacific","West"
"3","Arizona","AZ","Pacific","West"
"4","Arkansas","AR","West South Central","South"
"5","California","CA","Pacific","West"
"6","Colorado","CO","Mountain","West"
"7","Connecticut","CT","East North Central","Northeast"
"8","Delaware","DE","South Atlantic","Midwest"
"9","District of Columbia","DC","South Atlantic","Midwest"
"10","Florida","FL","East South Central","South"
"11","Georgia","GA","East South Central","South"
"12","Hawaii","HI","Pacific","West"
"13","Idaho","ID","Pacific","West"
"14","Illinois","IL","West North Central","Midwest"
"15","Indiana","IN","West North Central","Midwest"
"16","Iowa","IA","West North Central","Midwest"
"17","Kansas","KS","Mountain","West"
"18","Kentucky","KY","East South Central","South"
"19","Louisiana","LA","West South Central","South"
"20","Maine","ME","East North Central","Northeast"
"21","Maryland","MD","South Atlantic","Midwest"
"22","Massachusetts","MA","East North Central","Northeast"
"23","Michigan","MI","West North Central","Midwest"
"24","Minnesota","MN","West North Central","Midwest"
"25","Mississippi","MS","East South Central","South"
"26","Missouri","MO","Mountain","West"
"27","Montana","MT","Mountain","West"
"28","Nebraska","NE","West North Central","Midwest"
"29","Nevada","NV","Pacific","West"
"30","New Hampshire","NH","East North Central","Northeast"
"31","New Jersey","NJ","Middle Atlantic","Northeast"
"32","New Mexico","NM","West South Central","South"
"33","New York","NY","Middle Atlantic","Northeast"
"34","North Carolina","NC","East South Central","South"
"35","North Dakota","ND","West North Central","Midwest"
"36","Ohio","OH","West North Central","Midwest"
"37","Oklahoma","OK","West South Central","South"
"38","Oregon","OR","Pacific","West"
"39","Pennsylvania","PA","South Atlantic","Midwest"
"40","Rhode Island","RI","East North Central","Northeast"
"41","South Carolina","SC","East South Central","South"
"42","South Dakota","SD","West North Central","Midwest"
"43","Tennessee","TN","East South Central","South"
"44","Texas","TX","West South Central","South"
"45","Utah","UT","Mountain","West"
"46","Vermont","VT","East North Central","Northeast"
"47","Virginia","VA","South Atlantic","Midwest"
"48","Washington","WA","Pacific","West"
"49","West Virginia","WV","South Atlantic","Midwest"
"50","Wisconsin","WI","West North Central","Midwest"
"51","Wyoming","WY","Mountain","West"
"52","Guam","GU","Pacific","West"
"53","Puerto Rico","PR","Middle Atlantic","Northeast"
"54","Virgin Islands","VI","Middle Atlantic","Northeast"
