"zip","state","county","land_area_in_sqmi","water_area_in_sqmi","median_household_income"
"36003","AL","Autauga County",93.38,3.39,34375
"36006","AL","Autauga County",71.47,0.09,43417
"36067","AL","Autauga County",239.23,4.25,51204
"36066","AL","Autauga County",19.87,1.12,63828
"36703","AL","Dallas County",120.77,4.41,19181
"36701","AL","Dallas County",259.77,2.98,32136
"36091","AL","Chilton County",81.8,1.64,45833
"36051","AL","Autauga County",50.78,0.3,38819
"36068","AL","Autauga County",NA,NA,NA
"36008","AL","Autauga County",NA,NA,NA
"36022","AL","Elmore County",90.78,3.15,64167
"36749","AL","Autauga County",61.91,0.53,33889
"36758","AL","Dallas County",87.41,0.5,33869
"36550","AL","Baldwin County",53.93,0.13,38750
"36551","AL","Baldwin County",65,0.41,43537
"36527","AL","Baldwin County",41.13,4.18,75657
"36577","AL","Baldwin County",NA,NA,NA
"36559","AL","Baldwin County",0.36,0.63,130677
"36536","AL","Baldwin County",NA,NA,NA
"36576","AL","Baldwin County",19.45,0.06,59236
"36579","AL","Baldwin County",131.32,1.45,75417
"36502","AL","Escambia County",328.21,1.79,29236
"36578","AL","Baldwin County",30.61,0.22,32065
"36533","AL","Baldwin County",NA,NA,NA
"36564","AL","Baldwin County",0.3,0,NA
"36561","AL","Baldwin County",16.2,10,62829
"36580","AL","Baldwin County",53.76,0.4,38024
"36535","AL","Baldwin County",91.48,4.41,43039
"36547","AL","Baldwin County",NA,NA,NA
"36549","AL","Baldwin County",27.91,11.53,43598
"36530","AL","Baldwin County",96.62,6.81,38363
"36562","AL","Baldwin County",44.59,0.05,45673
"36532","AL","Baldwin County",73.74,6.54,57584
"36526","AL","Baldwin County",37.4,1.33,64613
"36555","AL","Baldwin County",0.84,0.06,47071
"36511","AL","Baldwin County",4.67,0.34,28933
"36567","AL","Baldwin County",228.46,1.45,42285
"36574","AL","Baldwin County",14.01,0.76,43536
"36480","AL","Monroe County",162.08,2.13,32574
"36507","AL","Baldwin County",334.81,3.05,39539
"36542","AL","Baldwin County",52.49,22.87,47892
"36017","AL","Barbour County",62.26,0.07,36100
"36016","AL","Barbour County",241.27,0.3,29469
"36311","AL","Dale County",119.76,0.07,42865
"36374","AL","Dale County",54.21,0,57875
"36048","AL","Barbour County",105.57,0.19,22279
"36053","AL","Bullock County",290.6,0.38,24732
"36317","AL","Henry County",40.61,0.07,42125
"36027","AL","Barbour County",288.85,19.75,35891
"36072","AL","Barbour County",NA,NA,NA
"35035","AL","Bibb County",71.08,0.62,55586
"35034","AL","Bibb County",107.37,0.67,23085
"36750","AL","Chilton County",114.35,0.4,38165
"35115","AL","Shelby County",124.8,1.07,40032
"35188","AL","Bibb County",22.96,0.14,48942
"36793","AL","Bibb County",75.73,0.13,34155
"35074","AL","Bibb County",0.06,0,NA
"35042","AL","Bibb County",150.44,0.8,33603
"35111","AL","Tuscaloosa County",64.19,1.18,79311
"35184","AL","Bibb County",141.57,1.07,41122
"36792","AL","Bibb County",56.26,0.09,32574
"35456","AL","Tuscaloosa County",84.72,0.25,41967
"35031","AL","Blount County",129.41,0.86,32492
"35121","AL","Blount County",143.82,2.09,41418
"35063","AL","Walker County",39.16,0.36,31182
"35016","AL","Marshall County",74.35,0.59,42771
"35079","AL","Blount County",106.13,0.47,47599
"35097","AL","Blount County",7.89,0.02,40317
"35133","AL","Blount County",48.31,0.84,54263
"35957","AL","Marshall County",79.58,0.25,37546
"35126","AL","Jefferson County",58.17,0.57,62154
"35049","AL","Blount County",42.34,0.28,42005
"35172","AL","Blount County",28.81,0.06,40833
"35952","AL","Etowah County",109.63,0.39,35650
"35180","AL","Jefferson County",88.84,0.48,52030
"35146","AL","St. Clair County",106.74,1.27,68036
"35976","AL","Marshall County",127.92,35.35,42240
"35980","AL","Marshall County",55.45,0.16,36144
"35013","AL","Blount County",0.03,0,30375
"36830","AL","Lee County",99.74,1.09,50693
"36031","AL","Macon County",10.36,0.05,NA
"36089","AL","Bullock County",328.89,1.57,28627
"36029","AL","Bullock County",102.31,0.64,36176
"36081","AL","Pike County",217.33,0.32,30657
"36860","AL","Russell County",152.21,0.35,22339
"36005","AL","Pike County",140.99,0.12,46923
"36052","AL","Montgomery County",62.51,0.47,130286
"36037","AL","Butler County",360.55,0.69,30256
"36033","AL","Butler County",234.58,0.17,24954
"36032","AL","Lowndes County",111.1,0.29,28348
"36456","AL","Butler County",123.97,0.08,34259
"36474","AL","Covington County",183.52,0.65,33930
"36030","AL","Butler County",68.21,0.03,32625
"36042","AL","Crenshaw County",81.39,0.25,31167
"36071","AL","Crenshaw County",46.96,0.03,44722
"36015","AL","Butler County",NA,NA,NA
"36206","AL","Calhoun County",15.97,0.07,41020
"36204","AL","Calhoun County",NA,NA,NA
"35096","AL","Talladega County",78.87,5.48,45233
"36279","AL","Calhoun County",29.7,0.25,50183
"36205","AL","Calhoun County",4.31,0,36755
"36260","AL","Calhoun County",27.14,0.29,43333
"36271","AL","Calhoun County",82.05,3.08,46861
"36272","AL","Calhoun County",337.08,1.39,37973
"36201","AL","Calhoun County",37.29,0.08,22054
"36203","AL","Calhoun County",38.27,0.75,49490
"36207","AL","Calhoun County",73.85,0.62,44176
"36265","AL","Calhoun County",99.48,0.31,39753
"36202","AL","Calhoun County",NA,NA,NA
"36257","AL","Calhoun County",NA,NA,NA
"36253","AL","Calhoun County",NA,NA,NA
"36254","AL","Calhoun County",NA,NA,NA
"35905","AL","Etowah County",41.52,0.59,46309
"36250","AL","Calhoun County",17.64,0.08,50316
"36277","AL","Calhoun County",8.41,0.14,43925
"36852","AL","Lee County",35.14,0.04,42411
"36855","AL","Chambers County",72.06,2.29,39125
"36879","AL","Lee County",88.01,0.22,48194
"36274","AL","Randolph County",182.67,0.99,33826
"36862","AL","Chambers County",239.66,0.95,30795
"36863","AL","Chambers County",87.92,2.13,30786
"36801","AL","Lee County",71.59,0.94,37451
"36854","AL","Chambers County",58.87,2.31,36465
"36276","AL","Randolph County",134.19,1.58,38819
"36850","AL","Tallapoosa County",147.73,0.53,31282
"35973","AL","Cherokee County",114.44,0.47,31346
"35959","AL","Cherokee County",62.39,20.91,32975
"35901","AL","Etowah County",59.49,4.33,32213
"35984","AL","DeKalb County",64.61,0.19,37279
"35967","AL","DeKalb County",125,0.34,37527
"35961","AL","DeKalb County",127.87,0.46,34583
"35903","AL","Etowah County",67.42,2.51,34444
"36275","AL","Cherokee County",NA,NA,NA
"35960","AL","Cherokee County",143.07,17.63,37287
"35983","AL","Cherokee County",50.12,6.79,36488
"35040","AL","Shelby County",76.33,1.1,60838
"36790","AL","Chilton County",5.04,0,63611
"35046","AL","Chilton County",134.61,7.76,45410
"35045","AL","Chilton County",119.16,0.32,38011
"35171","AL","Chilton County",29.46,0.06,49141
"35085","AL","Chilton County",104.15,0.48,42779
"36908","AL","Choctaw County",131.25,0.92,43542
"36913","AL","Choctaw County",9.31,0,21591
"36919","AL","Choctaw County",161.3,2.21,24942
"36921","AL","Choctaw County",100.08,1.64,28364
"36904","AL","Choctaw County",226.94,0.97,38116
