"","L1","L2","LineDescription","Quarter","RealGDP"
"1","E","Goods","Durable goods","2020Q1",1484907
"2","E","Goods","Durable goods","2020Q2",1468253
"3","E","Goods","Durable goods","2020Q3",1753295
"4","E","Goods","Durable goods","2020Q4",1759179
"5","E","Goods","Durable goods","2021Q1",1957840
"6","E","Goods","Durable goods","2021Q2",2092153
"7","E","Goods","Durable goods","2021Q3",1995150
"8","E","Goods","Durable goods","2021Q4",2059726
"9","E","Goods","Durable goods","2022Q1",2122263
"10","E","Goods","Nondurable goods","2020Q1",3046028
"11","E","Goods","Nondurable goods","2020Q2",2881659
"12","E","Goods","Nondurable goods","2020Q3",3113894
"13","E","Goods","Nondurable goods","2020Q4",3108072
"14","E","Goods","Nondurable goods","2021Q1",3287185
"15","E","Goods","Nondurable goods","2021Q2",3437637
"16","E","Goods","Nondurable goods","2021Q3",3504978
"17","E","Goods","Nondurable goods","2021Q4",3591116
"18","E","Goods","Nondurable goods","2022Q1",3683633
"19","E","Services","Services","2020Q1",9908154
"20","E","Services","Services","2020Q2",8639817
"21","E","Services","Services","2020Q3",9426643
"22","E","Services","Services","2020Q4",9600360
"23","E","Services","Services","2021Q1",9760419
"24","E","Services","Services","2021Q2",10151909
"25","E","Services","Services","2021Q3",10464810
"26","E","Services","Services","2021Q4",10663359
"27","E","Services","Services","2022Q1",10864197
"28","I","Fixed investment","Nonresidential","2020Q1",2900084
"29","I","Fixed investment","Nonresidential","2020Q2",2659079
"30","I","Fixed investment","Nonresidential","2020Q3",2776581
"31","I","Fixed investment","Nonresidential","2020Q4",2862708
"32","I","Fixed investment","Nonresidential","2021Q1",2956702
"33","I","Fixed investment","Nonresidential","2021Q2",3029155
"34","I","Fixed investment","Nonresidential","2021Q3",3073904
"35","I","Fixed investment","Nonresidential","2021Q4",3154891
"36","I","Fixed investment","Nonresidential","2022Q1",3285531
"37","I","Fixed investment","Residential","2020Q1",872872
"38","I","Fixed investment","Residential","2020Q2",797846
"39","I","Fixed investment","Residential","2020Q3",917203
"40","I","Fixed investment","Residential","2020Q4",1003201
"41","I","Fixed investment","Residential","2021Q1",1065524
"42","I","Fixed investment","Residential","2021Q2",1070226
"43","I","Fixed investment","Residential","2021Q3",1085865
"44","I","Fixed investment","Residential","2021Q4",1122948
"45","I","Fixed investment","Residential","2022Q1",1172022
"46","I","Change in private inventories","Change in private inventories","2020Q1",-20594
"47","I","Change in private inventories","Change in private inventories","2020Q2",-289937
"48","I","Change in private inventories","Change in private inventories","2020Q3",15016
"49","I","Change in private inventories","Change in private inventories","2020Q4",57254
"50","I","Change in private inventories","Change in private inventories","2021Q1",-94242
"51","I","Change in private inventories","Change in private inventories","2021Q2",-174312
"52","I","Change in private inventories","Change in private inventories","2021Q3",-60198
"53","I","Change in private inventories","Change in private inventories","2021Q4",249342
"54","I","Change in private inventories","Change in private inventories","2022Q1",237511
